time,x,y,z,vx,vy,vz
9.613351877607788083e+02,8.309975103916852390e+01,1.895967393446579990e+03,0.000000000000000000e+00,1.123607176337733798e-01,-1.986740257222637807e-01,0.000000000000000000e+00
9.713490959666202116e+02,8.422335821550625212e+01,1.893980653189357326e+03,0.000000000000000000e+00,1.122175958144817076e-01,-2.002567089777713416e-01,0.000000000000000000e+00
9.813630041724617286e+02,8.534553417365107464e+01,1.891978086099579514e+03,0.000000000000000000e+00,1.120653742688140775e-01,-2.018330624525298822e-01,0.000000000000000000e+00
9.913769123783031318e+02,8.646618791633920864e+01,1.889959755475054180e+03,0.000000000000000000e+00,1.119043000362305168e-01,-2.034031190523182819e-01,0.000000000000000000e+00
1.001390820584144649e+03,8.758523091670153349e+01,1.887925724284531043e+03,0.000000000000000000e+00,1.117346135988853822e-01,-2.049669102363118611e-01,0.000000000000000000e+00
1.011404728789986052e+03,8.870257705269037274e+01,1.885876055182167875e+03,0.000000000000000000e+00,1.115565490526016917e-01,-2.065244660663443366e-01,0.000000000000000000e+00
1.021418636995827455e+03,8.981814254321639623e+01,1.883810810521504209e+03,0.000000000000000000e+00,1.113703342737352581e-01,-2.080758152546688111e-01,0.000000000000000000e+00
1.031432545201668972e+03,9.093184588595374862e+01,1.881730052368957558e+03,0.000000000000000000e+00,1.111761910814837162e-01,-2.096209852102554339e-01,0.000000000000000000e+00
1.041446453407510489e+03,9.204360779676858328e+01,1.879633842516855111e+03,0.000000000000000000e+00,1.109743353960827433e-01,-2.111600020836726932e-01,0.000000000000000000e+00
1.051460361613351779e+03,9.315335115072940653e+01,1.877522242496018407e+03,0.000000000000000000e+00,1.107649773930430848e-01,-2.126928908105916172e-01,0.000000000000000000e+00
1.061474269819193296e+03,9.426100092465983948e+01,1.875395313587912597e+03,0.000000000000000000e+00,1.105483216532815310e-01,-2.142196751539506561e-01,0.000000000000000000e+00
1.071488178025034813e+03,9.536648414119265738e+01,1.873253116836373010e+03,0.000000000000000000e+00,1.103245673093810608e-01,-2.157403777448220483e-01,0.000000000000000000e+00
1.081502086230876102e+03,9.646972981428648097e+01,1.871095713058924957e+03,0.000000000000000000e+00,1.100939081882230663e-01,-2.172550201220172228e-01,0.000000000000000000e+00
1.091515994436717619e+03,9.757066889616869787e+01,1.868923162857704710e+03,0.000000000000000000e+00,1.098565329497413201e-01,-2.187636227704650438e-01,0.000000000000000000e+00
1.101529902642559136e+03,9.866923422566610213e+01,1.866735526630000095e+03,0.000000000000000000e+00,1.096126252222324460e-01,-2.202662051584021730e-01,0.000000000000000000e+00
1.111543810848400426e+03,9.976536047788843575e+01,1.864532864578416138e+03,0.000000000000000000e+00,1.093623637340762206e-01,-2.217627857734070784e-01,0.000000000000000000e+00
1.121557719054241943e+03,1.008589841152291910e+02,1.862315236720681924e+03,0.000000000000000000e+00,1.091059224422381430e-01,-2.232533821573135790e-01,0.000000000000000000e+00
1.131571627260083460e+03,1.019500433396515717e+02,1.860082702899108654e+03,0.000000000000000000e+00,1.088434706571576593e-01,-2.247380109400325954e-01,0.000000000000000000e+00
1.141585535465924750e+03,1.030384780462231475e+02,1.857835322789708243e+03,0.000000000000000000e+00,1.085751731647126295e-01,-2.262166878723196328e-01,0.000000000000000000e+00
1.151599443671766267e+03,1.041242297778702692e+02,1.855573155910984951e+03,0.000000000000000000e+00,1.083011903448490854e-01,-2.276894278575128383e-01,0.000000000000000000e+00
