# time,x,y,z,vx,vy,vz
2.755632067428196592e+02,4.427127226142367817e+02,0.000000000000000000e+00,-1.009903008403220670e-01,-3.956325371091028997e-01,0.000000000000000000e+00,6.363636363636363967e+03
2.654641766587874940e+02,4.031494689033264649e+02,0.000000000000000000e+00,-1.057611569203402713e-01,-3.786560613723743418e-01,0.000000000000000000e+00,6.464646464646464665e+03
2.548880609667534713e+02,3.652838627660890438e+02,0.000000000000000000e+00,-1.098907492646974682e-01,-3.609343224822644802e-01,0.000000000000000000e+00,6.565656565656565363e+03
2.438989860402837166e+02,3.291904305178625805e+02,0.000000000000000000e+00,-1.133599440224043603e-01,-3.425810463099876468e-01,0.000000000000000000e+00,6.666666666666666970e+03
2.325629916380432860e+02,2.949323258868637936e+02,0.000000000000000000e+00,-1.161547165079740290e-01,-3.237131636458593920e-01,0.000000000000000000e+00,6.767676767676767668e+03
2.209475199872458973e+02,2.625610095222779137e+02,0.000000000000000000e+00,-1.182662622394312218e-01,-3.044499068942413955e-01,0.000000000000000000e+00,6.868686868686868365e+03
2.091208937633027460e+02,2.321160188328537402e+02,0.000000000000000000e+00,-1.196910678840747977e-01,-2.849118885257093670e-01,0.000000000000000000e+00,6.969696969696969973e+03
1.971517869748952592e+02,2.036248299802828114e+02,0.000000000000000000e+00,-1.204309415453845428e-01,-2.652201683536962729e-01,0.000000000000000000e+00,7.070707070707070670e+03
1.851086928203568220e+02,1.771028131449131706e+02,0.000000000000000000e+00,-1.204930021344322172e-01,-2.454953167925266466e-01,0.000000000000000000e+00,7.171717171717171368e+03
1.730593926069135762e+02,1.525532814656604899e+02,0.000000000000000000e+00,-1.198896278812686261e-01,-2.258564812889440332e-01,0.000000000000000000e+00,7.272727272727272975e+03
1.610704298187867209e+02,1.299676333367661130e+02,0.000000000000000000e+00,-1.186383643536527976e-01,-2.064204630996327450e-01,0.000000000000000000e+00,7.373737373737373673e+03
1.492065933834214491e+02,1.093255870268028360e+02,0.000000000000000000e+00,-1.167617926598047695e-01,-1.873008115129702611e-01,0.000000000000000000e+00,7.474747474747474371e+03
1.375304141174409835e+02,9.059550587550580758e+01,0.000000000000000000e+00,-1.142873588162546250e-01,-1.686069424848307963e-01,0.000000000000000000e+00,7.575757575757575978e+03
1.261016782358155126e+02,7.373481162702272229e+01,0.000000000000000000e+00,-1.112471655590223513e-01,-1.504432884766397083e-01,0.000000000000000000e+00,7.676767676767676676e+03
1.149769616799132876e+02,5.869048277935876001e+01,0.000000000000000000e+00,-1.076777281640360073e-01,-1.329084860503820242e-01,0.000000000000000000e+00,7.777777777777777374e+03
1.042091888635096808e+02,4.539963417432055337e+01,0.000000000000000000e+00,-1.036196961186976323e-01,-1.160946074916318488e-01,0.000000000000000000e+00,7.878787878787878981e+03
9.384721925163992751e+01,3.379017342515736999e+01,0.000000000000000000e+00,-9.911754274873434134e-02,-1.000864424000039304e-01,0.000000000000000000e+00,7.979797979797979679e+03
8.393546497676649665e+01,2.378152918515697678e+01,0.000000000000000000e+00,-9.421922515093127115e-02,-8.496083480920789410e-02,0.000000000000000000e+00,8.080808080808081286e+03
7.451354246167335305e+01,1.528544570423618687e+01,0.000000000000000000e+00,-8.897581701115010733e-02,-7.078608097893659967e-02,0.000000000000000000e+00,8.181818181818181984e+03
6.561596076055835169e+01,8.206837606342528346e+00,0.000000000000000000e+00,-8.344111709644480568e-02,-5.762139254128748750e-02,0.000000000000000000e+00,8.282828282828282681e+03
5.727184905091387179e+01,2.444698352213778403e+00,0.000000000000000000e+00,-7.767123639848901029e-02,-4.551642918875377364e-02,0.000000000000000000e+00,8.383838383838383379e+03
4.950472541106497459e+01,-2.106944566661598905e+00,0.000000000000000000e+00,-7.172416707147998005e-02,-3.451090456275610063e-02,0.000000000000000000e+00,8.484848484848484077e+03
4.233230870391697209e+01,-5.558035022937209746e+00,0.000000000000000000e+00,-6.565933644990129547e-02,-2.463426844519291808e-02,0.000000000000000000e+00,8.585858585858586594e+03
3.576637505892684743e+01,-8.021461867456499917e+00,0.000000000000000000e+00,-5.953714954890974159e-02,-1.590546777476363471e-02,0.000000000000000000e+00,8.686868686868687291e+03
